2025-02-04 16:46:24 status half-installed g++:amd64 4:12.2.0-3
2025-02-04 16:46:24 status unpacked g++:amd64 4:12.2.0-3
2025-02-04 16:46:24 install gcc-12-cross-base:all <none> 12.2.0-14cross1
2025-02-04 16:46:24 status half-installed gcc-12-cross-base:all 12.2.0-14cross1
2025-02-04 16:46:24 status unpacked gcc-12-cross-base:all 12.2.0-14cross1
2025-02-04 16:46:24 install libc6-arm64-cross:all <none> 2.36-8cross1
2025-02-04 16:46:24 status half-installed libc6-arm64-cross:all 2.36-8cross1
2025-02-04 16:46:25 status unpacked libc6-arm64-cross:all 2.36-8cross1
2025-02-04 16:46:25 install libgcc-s1-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libgcc-s1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libgcc-s1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libgomp1-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libgomp1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libgomp1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libitm1-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libitm1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libitm1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libatomic1-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libatomic1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libatomic1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libasan8-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libasan8-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libasan8-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install liblsan0-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed liblsan0-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked liblsan0-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libtsan2-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libtsan2-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libtsan2-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libstdc++6-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libstdc++6-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libstdc++6-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libubsan1-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libubsan1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libubsan1-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libhwasan0-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libhwasan0-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 status unpacked libhwasan0-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:25 install libgcc-12-dev-arm64-cross:all <none> 12.2.0-14cross1
2025-02-04 16:46:25 status half-installed libgcc-12-dev-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:26 status unpacked libgcc-12-dev-arm64-cross:all 12.2.0-14cross1
2025-02-04 16:46:26 install gcc-12-aarch64-linux-gnu:amd64 <none> 12.2.0-14cross1
2025-02-04 16:46:26 status half-installed gcc-12-aarch64-linux-gnu:amd64 12.2.0-14cross1
2025-02-04 16:46:26 status unpacked gcc-12-aarch64-linux-gnu:amd64 12.2.0-14cross1
2025-02-04 16:46:26 install gcc-aarch64-linux-gnu:amd64 <none> 4:12.2.0-3
2025-02-04 16:46:26 status half-installed gcc-aarch64-linux-gnu:amd64 4:12.2.0-3
2025-02-04 16:46:26 status unpacked gcc-aarch64-linux-gnu:amd64 4:12.2.0-3
2025-02-04 16:46:26 install libbrotli1:amd64 <none> 1.0.9-2+b6
2025-02-04 16:46:26 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-02-04 16:46:27 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-02-04 16:46:27 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2025-02-04 16:46:27 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-04 16:46:27 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-04 16:46:27 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2025-02-04 16:46:27 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-04 16:46:27 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-04 16:46:28 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2025-02-04 16:46:28 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-04 16:46:28 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-04 16:46:28 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u2
2025-02-04 16:46:28 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-04 16:46:28 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-04 16:46:28 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-02-04 16:46:28 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-04 16:46:28 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-04 16:46:28 install libssh2-1:amd64 <none> 1.10.0-3+b1
2025-02-04 16:46:28 status half-installed libssh2-1:amd64 1.10.0-3+b1
2025-02-04 16:46:28 status unpacked libssh2-1:amd64 1.10.0-3+b1
2025-02-04 16:46:28 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u8
